Paired evolution matrix comparison
Baseline: review10-baseline-7a50b51-20260820 (9 runs)
Candidate: review10-v1-intent-recovery-20260820 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 6/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  hypothesisCandidateRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidates: B med/mean 151/135; C 151/135; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesWithEntityRoleBasis: B med/mean 151/135; C 151/135; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesWithRoleBasis: B med/mean 151/135; C 151/135; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCombineAttempts: B med/mean 17/17.33; C 17/17.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCombineNoResponses: B med/mean 13/10.67; C 13/10.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCombineResponses: B med/mean 8/6.67; C 8/6.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectFlexibleLayersAttempts: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 0/4; C 0/4; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 17/17; C 17/17; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectManipulatorShapesCandidates: B med/mean 84/97; C 84/97; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 13/10.33; C 13/10.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 8/6.67; C 8/6.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 1/1; C 1/1; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 2/2.33; C 2/2.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertAttempts: B med/mean 1/1; C 1/1; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertNoResponses: B med/mean 1/0.67; C 1/0.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertResponses: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 1/1.33; C 1/1.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExposeAttempts: B med/mean 2/2.67; C 2/2.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExposeNoResponses: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExposeResponses: B med/mean 2/2.33; C 2/2.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisFirstAttemptNoResponses: B med/mean 4/4.67; C 4/4.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisFirstAttemptResponses: B med/mean 5/6.33; C 5/6.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisMaterialOnlyVerifiedResponseAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisMissingSourceKeys: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNonFiniteRoleScores: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponses: B med/mean 14/11.67; C 14/11.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisQuestionOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableKnowledgeViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableNoResponseExcessAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseDrivenTransitions: B med/mean 3/3.67; C 3/3.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponses: B med/mean 10/9.33; C 10/9.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisSeekLocalHeatAttempts: B med/mean 1/1; C 1/1; paired Δ med/mean 0/0 (3 pairs)
  hypothesisSeekLocalHeatCandidates: B med/mean 12/12; C 12/12; paired Δ med/mean 0/0 (3 pairs)
  hypothesisSeekLocalHeatNoResponses: B med/mean 1/0.67; C 1/0.67; paired Δ med/mean 0/0 (3 pairs)
